"County Name","Party","Count"
"CAMBRIA","GR","18"
"CAMBRIA","I","244"
"CAMBRIA","INDE","11"
"CAMBRIA","IT","1"
"CAMBRIA","LI","1"
"CAMBRIA","LN","58"
"CAMBRIA","M","1"
"CAMBRIA","NF","1,158"
"CAMBRIA","NO","46"
"CAMBRIA","NON","4"
"CAMBRIA","NOP","7"
"CAMBRIA","NOPA","1"
"CAMBRIA","OTH","28"
"CAMBRIA","PL","1"
"CAMBRIA","R","6,621"
"CAMBRIA","RVA","1"
"CAMBRIA","UNA","2"
"CAMBRIA","UND","1"
"CAMBRIA",,"12"
"CAMERON","C","1"
"CAMERON","D","333"
"CAMERON","I","23"
"CAMERON","LN","1"
"CAMERON","NF","41"
"CAMERON","NO","4"
"CAMERON","NON","1"
"CAMERON","NOP","1"
"CAMERON","OTH","2"
"CAMERON","R","403"
"CARBON","ANY","1"
"CARBON","B","2"
"CARBON","C","3"
"CARBON","CL","1"
"CARBON","CM","1"
"CARBON","CO","1"
"CARBON","CTT","1"
"CARBON","D","6,274"
"CARBON","GR","6"
"CARBON","I","174"
"CARBON","ID","1"
"CARBON","INDE","2"
"CARBON","IR","1"
"CARBON","LN","35"
"CARBON","NF","865"
"CARBON","NO","18"
"CARBON","NON","7"
"CARBON","NOP","114"
"CARBON","OTH","25"
"CARBON","R","3,512"
"CARBON","UWS","1"
"CARBON",,"3"
"CENTRE","CT","3"
"CENTRE","D","21,601"
"CENTRE","GR","33"
"CENTRE","I","387"
"CENTRE","ID","1"
"CENTRE","IMP","1"
"CENTRE","IND","3"
"CENTRE","INDE","14"
"CENTRE","LN","161"
"CENTRE","M","1"
"CENTRE","MM","1"
"CENTRE","MW","2"
"CENTRE","NF","4,186"
"CENTRE","NO","34"
"CENTRE","NON","185"
"CENTRE","NOP","32"
"CENTRE","NTS","2"
"CENTRE","OTH","79"
"CENTRE","R","9,473"
"CENTRE","RF","1"
"CENTRE","S","1"
"CENTRE","UND","2"
"CENTRE","UNI","1"
"CENTRE","UNK","3"
"CENTRE","X","1"
"CENTRE",,"11"
"CHESTER","3RD","1"
"CHESTER","AI","1"
"CHESTER","AM","2"
"CHESTER","C","2"
"CHESTER","CE","1"
"CHESTER","CH","1"
"CHESTER","CL","1"
"CHESTER","CT","5"
"CHESTER","CTT","1"
"CHESTER","D","93,403"
"CHESTER","FE","1"
"CHESTER","GOP","1"
"CHESTER","GP","3"
"CHESTER","GR","165"
"CHESTER","I","1,791"
"CHESTER","ID","10"
"CHESTER","IND","23"
"CHESTER","INDE","29"
"CHESTER","IR","6"
"CHESTER","IT","1"
"CHESTER","ITENT","1"
"CHESTER","LI","7"
"CHESTER","LN","557"
"CHESTER","M","4"
"CHESTER","N","3"
"CHESTER","NE","13"
"CHESTER","NF","18,077"
"CHESTER","NO","209"
"CHESTER","NON","583"
"CHESTER","NOP","5,182"
"CHESTER","NOPA","1"
"CHESTER","NOT","1"
"CHESTER","NTS","8"
"CHESTER","OTH","467"
"CHESTER","R","46,810"
"CHESTER","RF","4"
"CHESTER","S","5"
"CHESTER","SD","1"
"CHESTER","UNA","6"
"CHESTER","UND","10"
"CHESTER","UNK","5"
"CHESTER","VP","1"
"CHESTER",,"119"
"CLARION","AM","2"
"CLARION","AP","1"
"CLARION","C","2"
"CLARION","D","2,279"
"CLARION","GR","3"
"CLARION","I","69"
"CLARION","ID","1"
"CLARION","INDE","1"
"CLARION","IR","2"
"CLARION","LN","18"
"CLARION","NF","288"
"CLARION","NO","8"
"CLARION","NON","1"
"CLARION","NOP","1"
"CLARION","OP","1"
"CLARION","OTH","8"
"CLARION","PP","1"
"CLARION","R","2,209"
"CLARION","UND","1"
"CLARION",,"2"
"CLEARFIELD","AD","1"
"CLEARFIELD","CR","1"
"CLEARFIELD","CT","1"
"CLEARFIELD","D","5,086"
"CLEARFIELD","GR","13"
"CLEARFIELD","I","100"
"CLEARFIELD","IND","4"
"CLEARFIELD","INDE","5"
"CLEARFIELD","LI","1"
"CLEARFIELD","LN","44"
"CLEARFIELD","NF","540"
"CLEARFIELD","NO","15"
"CLEARFIELD","NON","18"
"CLEARFIELD","NOP","82"
"CLEARFIELD","OTH","34"
"CLEARFIELD","R","3,757"
"CLEARFIELD","S","1"
"CLEARFIELD",,"2"
"CLINTON","D","2,800"
"CLINTON","GR","5"
"CLINTON","I","62"
"CLINTON","IND","4"
"CLINTON","LN","22"
"CLINTON","NF","322"
"CLINTON","NO","38"
"CLINTON","NOP","10"
"CLINTON","OTH","8"
"CLINTON","R","1,916"
"CLINTON","UND","1"
"CLINTON",,"4"
"COLUMBIA","ASP","1"
"COLUMBIA","CL","1"
"COLUMBIA","D","5,530"
"COLUMBIA","GR","18"
"COLUMBIA","I","120"
"COLUMBIA","ID","1"
"COLUMBIA","INDE","6"
"COLUMBIA","IT","2"
"COLUMBIA","LN","55"
"COLUMBIA","M","1"
"COLUMBIA","NF","872"
"COLUMBIA","NO","2"
"COLUMBIA","NON","2"
"COLUMBIA","NOP","126"
"COLUMBIA","OTH","23"
"COLUMBIA","R","3,470"
"COLUMBIA","SPU","1"
"COLUMBIA",,"11"
"CRAWFORD","C","2"
"CRAWFORD","D","6,669"
"CRAWFORD","GR","10"
"CRAWFORD","I","198"
"CRAWFORD","IND","2"
"CRAWFORD","INDE","3"
"CRAWFORD","LN","43"
"CRAWFORD","NF","725"
"CRAWFORD","NO","10"
"CRAWFORD","NOP","125"
"CRAWFORD","OTH","29"
"CRAWFORD","PF","1"
"CRAWFORD","R","5,164"
"CRAWFORD","TP","1"
"CRAWFORD",,"3"
"CUMBERLAND","AC","1"
"CUMBERLAND","ASP","1"
"CUMBERLAND","BM","1"
"CUMBERLAND","C","5"
"CUMBERLAND","CM","1"
"CUMBERLAND","CT","4"
"CUMBERLAND","D","30,818"
"CUMBERLAND","GR","93"
"CUMBERLAND","I","822"
"CUMBERLAND","ID","3"
"CUMBERLAND","IND","6"
"CUMBERLAND","INDE","11"
"CUMBERLAND","IR","6"
"CUMBERLAND","JD","1"
"CUMBERLAND","LI","2"
"CUMBERLAND","LN","235"
"CUMBERLAND","M","2"
"CUMBERLAND","MP","1"
"CUMBERLAND","N","2"
