"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2021","42035","Clinton, PA","$1,558,204","Thousands of dollars"
"2021","42037","Columbia, PA","$2,677,545","Thousands of dollars"
"2021","42039","Crawford, PA","$3,139,351","Thousands of dollars"
"2021","42041","Cumberland, PA","$18,874,184","Thousands of dollars"
"2021","42043","Dauphin, PA","$24,627,184","Thousands of dollars"
"2021","42045","Delaware, PA","$36,910,355","Thousands of dollars"
"2021","42047","Elk, PA","$1,485,056","Thousands of dollars"
"2021","42049","Erie, PA","$12,350,432","Thousands of dollars"
"2021","42051","Fayette, PA","$4,543,170","Thousands of dollars"
"2021","42053","Forest, PA","$242,637","Thousands of dollars"
"2021","42055","Franklin, PA","$6,843,962","Thousands of dollars"
"2021","42057","Fulton, PA","$701,956","Thousands of dollars"
"2021","42059","Greene, PA","$3,531,651","Thousands of dollars"
"2021","42061","Huntingdon, PA","$1,384,057","Thousands of dollars"
"2021","42063","Indiana, PA","$4,065,840","Thousands of dollars"
"2021","42065","Jefferson, PA","$1,545,271","Thousands of dollars"
"2021","42067","Juniata, PA","$876,586","Thousands of dollars"
"2021","42069","Lackawanna, PA","$11,308,237","Thousands of dollars"
"2021","42071","Lancaster, PA","$33,178,998","Thousands of dollars"
"2021","42073","Lawrence, PA","$3,654,499","Thousands of dollars"
"2021","42075","Lebanon, PA","$6,790,001","Thousands of dollars"
"2021","42077","Lehigh, PA","$26,318,779","Thousands of dollars"
"2021","42079","Luzerne, PA","$16,859,012","Thousands of dollars"
"2021","42081","Lycoming, PA","$6,425,324","Thousands of dollars"
"2021","42083","McKean, PA","$2,033,546","Thousands of dollars"
"2021","42085","Mercer, PA","$4,616,945","Thousands of dollars"
"2021","42087","Mifflin, PA","$1,882,886","Thousands of dollars"
"2021","42089","Monroe, PA","$8,082,380","Thousands of dollars"
"2021","42091","Montgomery, PA","$94,248,782","Thousands of dollars"
"2021","42093","Montour, PA","$2,167,700","Thousands of dollars"
"2021","42095","Northampton, PA","$17,166,146","Thousands of dollars"
"2021","42097","Northumberland, PA","$3,768,244","Thousands of dollars"
"2021","42099","Perry, PA","$1,148,073","Thousands of dollars"
"2021","42101","Philadelphia, PA","$114,089,676","Thousands of dollars"
"2021","42103","Pike, PA","$1,553,085","Thousands of dollars"
"2021","42105","Potter, PA","$977,507","Thousands of dollars"
"2021","42107","Schuylkill, PA","$5,335,781","Thousands of dollars"
"2021","42109","Snyder, PA","$1,810,240","Thousands of dollars"
"2021","42111","Somerset, PA","$2,607,696","Thousands of dollars"
"2021","42113","Sullivan, PA","$295,816","Thousands of dollars"
"2021","42115","Susquehanna, PA","$3,003,181","Thousands of dollars"
"2021","42117","Tioga, PA","$1,753,185","Thousands of dollars"
"2021","42119","Union, PA","$2,112,552","Thousands of dollars"
"2021","42121","Venango, PA","$1,908,184","Thousands of dollars"
"2021","42123","Warren, PA","$1,457,936","Thousands of dollars"
"2021","42125","Washington, PA","$15,012,322","Thousands of dollars"
"2021","42127","Wayne, PA","$2,131,270","Thousands of dollars"
"2021","42129","Westmoreland, PA","$16,339,255","Thousands of dollars"
"2021","42131","Wyoming, PA","$1,774,021","Thousands of dollars"
"2021","42133","York, PA","$23,320,925","Thousands of dollars"
"2020","42001","Adams, PA","$3,909,520","Thousands of dollars"
"2020","42003","Allegheny, PA","$103,116,402","Thousands of dollars"
"2020","42005","Armstrong, PA","$2,137,212","Thousands of dollars"
"2020","42007","Beaver, PA","$7,346,310","Thousands of dollars"
"2020","42009","Bedford, PA","$1,496,236","Thousands of dollars"
"2020","42011","Berks, PA","$20,672,554","Thousands of dollars"
"2020","42013","Blair, PA","$6,279,352","Thousands of dollars"
"2020","42015","Bradford, PA","$3,702,219","Thousands of dollars"
"2020","42017","Bucks, PA","$36,281,503","Thousands of dollars"
"2020","42019","Butler, PA","$10,681,226","Thousands of dollars"
"2020","42021","Cambria, PA","$4,938,469","Thousands of dollars"
"2020","42023","Cameron, PA","$190,807","Thousands of dollars"
"2020","42025","Carbon, PA","$2,643,442","Thousands of dollars"
"2020","42027","Centre, PA","$9,224,495","Thousands of dollars"
"2020","42029","Chester, PA","$46,583,797","Thousands of dollars"
"2020","42031","Clarion, PA","$1,226,898","Thousands of dollars"
"2020","42033","Clearfield, PA","$2,907,112","Thousands of dollars"
"2020","42035","Clinton, PA","$1,556,659","Thousands of dollars"
"2020","42037","Columbia, PA","$2,526,706","Thousands of dollars"
